(model, predicted_mpg, actual_mpg)
(chevrolet chevelle malibu, 17.5707017925, 18.0)
(buick skylark 320, 15.4344891643, 15.0)
(plymouth satellite, 16.8961371104, 18.0)
(amc rebel sst, 17.1294306286, 16.0)
(ford torino, 17.3984650227, 17.0)
(ford galaxie 500, 11.8474488902, 15.0)
(chevrolet impala, 10.7387936929, 14.0)
(plymouth fury iii, 11.1709828826, 14.0)
(pontiac catalina, 10.4434924179, 14.0)
(amc ambassador dpl, 13.6550579584, 15.0)
(dodge challenger se, 15.0415986471, 15.0)
(plymouth 'cuda 340, 15.8139062157, 14.0)
(chevrolet monte carlo, 15.0002665287, 15.0)
(buick estate wagon (sw), 13.2891979086, 14.0)
(toyota corona mark ii, 26.7703464892, 24.0)
(plymouth duster, 23.1760382847, 22.0)
(amc hornet, 23.2237815551, 18.0)
(ford maverick, 24.0020632557, 21.0)
(datsun pl510, 27.7194081985, 27.0)
(volkswagen 1131 deluxe sedan, 29.8498640957, 26.0)
(peugeot 504, 26.5002849547, 25.0)
(audi 100 ls, 26.8765960857, 24.0)
(saab 99e, 26.9626667315, 25.0)
(bmw 2002, 26.3078865796, 26.0)
(amc gremlin, 23.6994848107, 21.0)
(ford f250, 11.817611466, 10.0)
(chevy c20, 13.5813816361, 10.0)
(dodge d200, 13.0526749877, 11.0)
(hi 1200d, 13.1890132487, 9.0)
(datsun pl510, 27.7946153309, 27.0)
(chevrolet vega 2300, 26.8651993639, 28.0)
(toyota corona, 27.1231474806, 25.0)
(amc gremlin, 22.9623783836, 19.0)
(plymouth satellite custom, 21.2632233792, 16.0)
(chevrolet chevelle malibu, 21.3012525014, 17.0)
(ford torino 500, 21.7394507334, 19.0)
(amc matador, 21.6435711714, 18.0)
(chevrolet impala, 14.4272897796, 14.0)
(pontiac catalina brougham, 12.8449406637, 14.0)
(ford galaxie 500, 14.9534805831, 14.0)
(plymouth fury iii, 15.6255647083, 14.0)
(dodge monaco (sw), 11.8837775921, 12.0)
(ford country squire (sw), 12.4185154721, 13.0)
(pontiac safari (sw), 11.4224946555, 13.0)
(amc hornet sportabout (sw), 21.5935726668, 18.0)
(chevrolet vega (sw), 27.2299345643, 22.0)
(pontiac firebird, 21.3869182604, 19.0)
(ford mustang, 22.0574242819, 18.0)
(mercury capri 2000, 27.2981701058, 23.0)
(opel 1900, 27.4624413748, 28.0)
(peugeot 304, 28.8822459701, 30.0)
(fiat 124b, 28.4411647173, 30.0)
(toyota corolla 1200, 29.7798129024, 31.0)
(datsun 1200, 29.9502949905, 35.0)
(volkswagen model 111, 29.4402479546, 27.0)
(plymouth cricket, 28.9934696576, 26.0)
(toyota corona hardtop, 27.1347547966, 24.0)
(dodge colt hardtop, 28.1962169381, 25.0)
(volkswagen type 3, 28.9412472805, 23.0)
(chevrolet vega, 26.7481376864, 20.0)
(ford pinto runabout, 27.4317299649, 21.0)
(chevrolet impala, 14.3643558688, 13.0)
(pontiac catalina, 13.1022631363, 14.0)
(plymouth fury iii, 15.6321080563, 15.0)
(ford galaxie 500, 15.0675980446, 14.0)
(amc ambassador sst, 16.7576900623, 17.0)
(mercury marquis, 11.088385627, 11.0)
(buick lesabre custom, 14.2398092585, 13.0)
(oldsmobile delta 88 royale, 14.1788970422, 12.0)
(chrysler newport royal, 12.5618291357, 13.0)
(mazda rx2 coupe, 28.2253727312, 19.0)
(amc matador (sw), 16.3185774451, 15.0)
(chevrolet chevelle concours (sw), 16.5156028129, 13.0)
(ford gran torino (sw), 15.9094749821, 13.0)
(plymouth satellite custom (sw), 15.7695932133, 14.0)
(volvo 145e (sw), 25.061371398, 18.0)
(volkswagen 411 (sw), 27.2002211498, 22.0)
(peugeot 504 (sw), 25.913363173, 21.0)
(renault 12 (sw), 28.4611152213, 26.0)
(ford pinto (sw), 27.058342411, 22.0)
(datsun 510 (sw), 27.4781988175, 28.0)
(toyouta corona mark ii (sw), 26.4590493635, 23.0)
(dodge colt (sw), 28.051485761, 28.0)
(toyota corolla 1600 (sw), 27.990463234, 27.0)
(buick century 350, 14.5204504909, 13.0)
(amc matador, 16.8328971947, 14.0)
(chevrolet malibu, 15.7105195543, 13.0)
(ford gran torino, 16.5727859304, 14.0)
(dodge coronet custom, 16.4397118669, 15.0)
(mercury marquis brougham, 10.8172070056, 12.0)
(chevrolet caprice classic, 13.8029436198, 13.0)
(ford ltd, 14.4868238514, 13.0)
(plymouth fury gran sedan, 15.5189816962, 14.0)
(chrysler new yorker brougham, 10.568729083, 13.0)
(buick electra 225 custom, 9.57967567145, 12.0)
(amc ambassador brougham, 14.9147423483, 13.0)
(plymouth valiant, 22.1179078156, 18.0)
(chevrolet nova custom, 21.6311585616, 16.0)
(amc hornet, 22.5371659368, 18.0)
(ford maverick, 22.5155010374, 18.0)
(plymouth duster, 23.2649879994, 23.0)
(volkswagen super beetle, 29.8453029503, 26.0)
(chevrolet impala, 12.7270704313, 11.0)
(ford country, 12.3383152295, 12.0)
(plymouth custom suburb, 13.359968684, 13.0)
(oldsmobile vista cruiser, 13.4995825987, 12.0)
(amc gremlin, 22.8402627575, 18.0)
(toyota carina, 27.7563553933, 20.0)
(chevrolet vega, 27.4094463984, 21.0)
(datsun 610, 27.1263727169, 22.0)
(maxda rx3, 28.9605237063, 18.0)
(ford pinto, 27.4170344445, 19.0)
(mercury capri v6, 24.3549998396, 21.0)
(fiat 124 sport coupe, 27.6089166664, 26.0)
(chevrolet monte carlo s, 15.5107463533, 15.0)
(pontiac grand prix, 11.5883582015, 16.0)
(fiat 128, 30.2949608233, 29.0)
(opel manta, 28.0571552354, 24.0)
(audi 100ls, 26.6339863636, 20.0)
(volvo 144ea, 25.3031612567, 19.0)
(dodge dart custom, 17.20039264, 15.0)
(saab 99le, 25.7660194985, 24.0)
(toyota mark ii, 23.13862374, 20.0)
(oldsmobile omega, 15.231501168, 11.0)
(plymouth duster, 22.9336171031, 20.0)
(amc hornet, 22.7058839292, 19.0)
(chevrolet nova, 21.5546596955, 15.0)
(datsun b210, 29.4523812734, 31.0)
(ford pinto, 27.2943719794, 26.0)
(toyota corolla 1200, 29.9284271161, 32.0)
(chevrolet vega, 27.0186853799, 25.0)
(chevrolet chevelle malibu classic, 20.608924861, 16.0)
(amc matador, 20.5232662689, 16.0)
(plymouth satellite sebring, 21.147493513, 18.0)
(ford gran torino, 16.3281686443, 16.0)
(buick century luxus (sw), 14.158665153, 13.0)
(dodge coronet custom (sw), 15.0981928454, 14.0)
(ford gran torino (sw), 15.3288043412, 14.0)
(amc matador (sw), 15.7786016701, 14.0)
(audi fox, 28.0324698334, 29.0)
(volkswagen dasher, 29.3252071743, 26.0)
(opel manta, 27.9762919089, 26.0)
(toyota corona, 30.53952766, 31.0)
(datsun 710, 29.4734440203, 32.0)
(dodge colt, 28.5426522916, 28.0)
(fiat 128, 28.6072231706, 24.0)
(fiat 124 tc, 27.9026781233, 26.0)
(honda civic, 26.6598136658, 24.0)
(subaru, 27.1793699185, 26.0)
(fiat x1.9, 29.2607938835, 31.0)
(plymouth valiant custom, 22.2675380837, 19.0)
(chevrolet nova, 21.1813462163, 18.0)
(mercury monarch, 22.428181857, 15.0)
(ford maverick, 22.967836961, 15.0)
(pontiac catalina, 12.8708924123, 16.0)
(chevrolet bel air, 14.92876394, 15.0)
(plymouth grand fury, 15.1147065413, 16.0)
(ford ltd, 14.3439835329, 14.0)
(buick century, 20.4821309008, 17.0)
(chevroelt chevelle malibu, 20.321592317, 16.0)
(amc matador, 20.4186408961, 15.0)
(plymouth fury, 21.24560954, 18.0)
(buick skyhawk, 22.1561950417, 21.0)
(chevrolet monza 2+2, 19.863497985, 20.0)
(ford mustang ii, 18.7613141727, 13.0)
(toyota corolla, 28.4635225475, 29.0)
(ford pinto, 26.633865859, 23.0)
(amc gremlin, 22.753462853, 20.0)
(pontiac astro, 26.9350885539, 23.0)
(toyota corona, 26.0729393205, 24.0)
(volkswagen dasher, 28.5934074578, 25.0)
(datsun 710, 26.6870672063, 24.0)
(ford pinto, 23.5220258919, 18.0)
(volkswagen rabbit, 29.1618585545, 29.0)
(amc pacer, 22.4680533707, 19.0)
(audi 100ls, 26.4336989479, 23.0)
(peugeot 504, 26.0829010789, 23.0)
(volvo 244dl, 25.7057758294, 22.0)
(saab 99le, 25.720161637, 25.0)
(honda civic cvcc, 30.0885027672, 33.0)
(fiat 131, 27.4109610275, 28.0)
(opel 1900, 28.0004214022, 25.0)
(capri ii, 26.5061245681, 25.0)
(dodge colt, 28.2674440884, 26.0)
(renault 12tl, 28.1423526829, 27.0)
(chevrolet chevelle malibu classic, 16.2503423698, 17.5)
(dodge coronet brougham, 15.8018271695, 16.0)
(amc matador, 17.4624984734, 15.5)
(ford gran torino, 15.2117017253, 14.5)
(plymouth valiant, 22.2328892878, 22.0)
(chevrolet nova, 21.439166987, 22.0)
(ford maverick, 23.7225217011, 24.0)
(amc hornet, 22.8281066121, 22.5)
(chevrolet chevette, 29.9041224707, 29.0)
(chevrolet woody, 29.1889445199, 24.5)
(vw rabbit, 29.2427540236, 29.0)
(honda civic, 30.1608657314, 33.0)
(dodge aspen se, 21.4099519884, 20.0)
(ford granada ghia, 22.0111956573, 18.0)
(pontiac ventura sj, 20.708272207, 18.5)
(amc pacer d/l, 22.0769962606, 17.5)
(volkswagen rabbit, 29.2929255399, 29.5)
(datsun b-210, 29.2806369741, 32.0)
(toyota corolla, 28.5841103023, 28.0)
(ford pinto, 27.1187213877, 26.5)
(volvo 245, 25.1249067524, 20.0)
(plymouth volare premier v8, 16.3388272109, 13.0)
(peugeot 504, 25.6322702037, 19.0)
(toyota mark ii, 23.6040091404, 19.0)
(mercedes-benz 280s, 21.1957305563, 16.5)
(cadillac seville, 13.9667316943, 16.5)
(chevy c10, 15.7653077318, 13.0)
(ford f108, 17.40031362, 13.0)
(dodge d100, 16.7547512188, 13.0)
(honda accord cvcc, 29.1607882531, 31.5)
(buick opel isuzu deluxe, 28.2566610772, 30.0)
(renault 5 gtl, 30.2178942759, 36.0)
(plymouth arrow gs, 27.3047085396, 25.5)
(datsun f-10 hatchback, 29.4457918768, 33.5)
(chevrolet caprice classic, 16.8646127752, 17.5)
(oldsmobile cutlass supreme, 18.4156131531, 17.0)
(dodge monaco brougham, 16.161879391, 15.5)
(mercury cougar brougham, 16.5694466861, 15.0)
(chevrolet concours, 21.0548235285, 17.5)
(buick skylark, 21.6989768021, 20.5)
(plymouth volare custom, 21.529789304, 19.0)
(ford granada, 21.498962238, 18.5)
(pontiac grand prix lj, 13.6446934391, 16.0)
(chevrolet monte carlo landau, 14.7963048546, 15.5)
(chrysler cordoba, 13.1354812345, 15.5)
(ford thunderbird, 15.1754342425, 16.0)
(volkswagen rabbit custom, 28.9670021611, 29.0)
(pontiac sunbird coupe, 26.2265694392, 24.5)
(toyota corolla liftback, 28.476735314, 26.0)
(ford mustang ii 2+2, 26.3132131893, 25.5)
(chevrolet chevette, 29.2640478177, 30.5)
(dodge colt m/m, 28.5470617629, 33.5)
(subaru dl, 29.2744871059, 30.0)
(volkswagen dasher, 28.4243137832, 30.5)
(datsun 810, 24.3860284671, 22.0)
(bmw 320i, 26.1602328179, 21.5)
(mazda rx-4, 27.2182422131, 21.5)
(volkswagen rabbit custom diesel, 30.1969444348, 43.1)
(ford fiesta, 29.7035393839, 36.1)
(mazda glc deluxe, 30.1804004115, 32.8)
(datsun b210 gx, 29.3065381863, 39.4)
(honda civic cvcc, 30.0500690812, 36.1)
(oldsmobile cutlass salon brougham, 19.8683209342, 19.9)
(dodge diplomat, 17.2422642136, 19.4)
(mercury monarch ghia, 17.8401178021, 20.2)
(pontiac phoenix lj, 21.6058226553, 19.2)
(chevrolet malibu, 23.1418046848, 20.5)
(ford fairmont (auto), 23.7946886811, 20.2)
(ford fairmont (man), 26.4831620012, 25.1)
(plymouth volare, 22.0158249588, 20.5)
(amc concord, 22.7014883514, 19.4)
(buick century special, 21.8385341901, 20.6)
(mercury zephyr, 23.5971352798, 20.8)
(dodge aspen, 21.3373434478, 18.6)
(amc concord d/l, 20.8960715719, 18.1)
(chevrolet monte carlo landau, 17.9267163884, 19.2)
(buick regal sport coupe (turbo), 19.7280502683, 17.7)
(ford futura, 18.5703261983, 18.1)
(dodge magnum xe, 16.5232749025, 17.5)
(chevrolet chevette, 28.9453348695, 30.0)
(toyota corona, 26.6519896582, 27.5)
(datsun 510, 27.3679582034, 27.2)
(dodge omni, 28.4076769467, 30.9)
(toyota celica gt liftback, 26.7646907749, 21.1)
(plymouth sapporo, 25.7006850582, 23.2)
(oldsmobile starfire sx, 26.1980840222, 23.8)
(datsun 200-sx, 27.150495624, 23.9)
(audi 5000, 25.2032983431, 20.3)
(volvo 264gl, 22.6153541904, 17.0)
(saab 99gle, 25.7448241314, 21.6)
(peugeot 604sl, 21.85023154, 16.2)
(volkswagen scirocco, 29.2828815351, 31.5)
(honda accord lx, 28.9906839742, 29.5)
(pontiac lemans v6, 21.87192583, 21.5)
(mercury zephyr 6, 23.8850246823, 19.8)
(ford fairmont 4, 26.2511163722, 22.3)
(amc concord dl 6, 22.6882485919, 20.2)
(dodge aspen 6, 21.9053872189, 20.6)
(chevrolet caprice classic, 17.6585385034, 17.0)
(ford ltd landau, 17.9203238273, 17.6)
(mercury grand marquis, 16.4455499646, 16.5)
(dodge st. regis, 17.3311298342, 18.2)
(buick estate wagon (sw), 15.1078625901, 16.9)
(ford country squire (sw), 16.1394975249, 15.5)
(chevrolet malibu classic (sw), 18.8439892314, 19.2)
(chrysler lebaron town @ country (sw), 15.9633319872, 18.5)
(vw rabbit custom, 29.4706321961, 31.9)
(maxda glc deluxe, 29.6314387504, 34.1)
(dodge colt hatchback custom, 29.0900571363, 35.7)
(amc spirit dl, 27.1764929277, 27.4)
(mercedes benz 300d, 23.9981934111, 25.4)
(cadillac eldorado, 17.1086217541, 23.0)
(peugeot 504, 26.3521682229, 27.2)
(oldsmobile cutlass salon brougham, 20.6518930475, 23.9)
(plymouth horizon, 28.6683408658, 34.2)
(plymouth horizon tc3, 28.8229540678, 34.5)
(datsun 210, 29.6637462395, 31.8)
(fiat strada custom, 29.0899814764, 37.3)
