(model, predicted_mpg, actual_mpg)
(chevrolet chevelle malibu, 18.4975880797, 18.0)
(buick skylark 320, 16.6204886355, 15.0)
(plymouth satellite, 18.4702247906, 18.0)
(amc rebel sst, 18.6637724371, 16.0)
(ford torino, 18.7219703471, 17.0)
(ford galaxie 500, 12.032036762, 15.0)
(chevrolet impala, 11.4022585156, 14.0)
(plymouth fury iii, 11.8450194781, 14.0)
(pontiac catalina, 10.9817272308, 14.0)
(amc ambassador dpl, 15.0521824477, 15.0)
(dodge challenger se, 16.7874615535, 15.0)
(plymouth 'cuda 340, 17.2203004394, 14.0)
(chevrolet monte carlo, 15.813329441, 15.0)
(buick estate wagon (sw), 17.6162576445, 14.0)
(toyota corona mark ii, 27.9507081144, 24.0)
(plymouth duster, 24.0934744659, 22.0)
(amc hornet, 24.3506570832, 18.0)
(ford maverick, 25.398788155, 21.0)
(datsun pl510, 29.4323530304, 27.0)
(volkswagen 1131 deluxe sedan, 31.3642178322, 26.0)
(peugeot 504, 26.5921049214, 25.0)
(audi 100 ls, 27.7958804808, 24.0)
(saab 99e, 28.0507113921, 25.0)
(bmw 2002, 28.3308626318, 26.0)
(amc gremlin, 25.0533313452, 21.0)
(ford f250, 11.3647494702, 10.0)
(chevy c20, 13.3933232009, 10.0)
(dodge d200, 13.1112510002, 11.0)
(hi 1200d, 11.7460540965, 9.0)
(datsun pl510, 29.4323786238, 27.0)
(chevrolet vega 2300, 28.1972279445, 28.0)
(toyota corona, 28.6642305916, 25.0)
(amc gremlin, 24.5895938028, 19.0)
(plymouth satellite custom, 20.6343148281, 16.0)
(chevrolet chevelle malibu, 20.9162448804, 17.0)
(ford torino 500, 21.1843646519, 19.0)
(amc matador, 21.3491287092, 18.0)
(chevrolet impala, 14.0638169418, 14.0)
(pontiac catalina brougham, 12.0502296523, 14.0)
(ford galaxie 500, 14.4579092067, 14.0)
(plymouth fury iii, 15.2000562324, 14.0)
(dodge monaco (sw), 9.77840103657, 12.0)
(ford country squire (sw), 10.708939489, 13.0)
(pontiac safari (sw), 8.70075800654, 13.0)
(amc hornet sportabout (sw), 22.520617117, 18.0)
(chevrolet vega (sw), 27.6852398056, 22.0)
(pontiac firebird, 21.1491223288, 19.0)
(ford mustang, 21.9920034908, 18.0)
(mercury capri 2000, 28.6897559337, 23.0)
(opel 1900, 29.2021741556, 28.0)
(peugeot 304, 30.1410938909, 30.0)
(fiat 124b, 30.0036500051, 30.0)
